arabic_name,english_name,description,channel_url,avatar_url,id,created_date,updated_date,created_by_id,created_by,is_sample
"باسم","Bassem","","https://www.youtube.com/@bassem1","https://yt3.googleusercontent.com/tzQqmZNMAbbUlzOyM53ks7sYURAwSz1g5cwaDOVq8XwZBkXenkgMw0i-M6nqQC4w09PvBVI1kQM=s160-c-k-c0x00ffffff-no-rj","6927033cad65aa542887a947","2025-11-26T13:40:12.603000","2025-11-26T13:40:12.603000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"رحاب بسيوني"," Rehab Basyouni","ليتنا نحُسن الاصغاء لذواتنا ونتلمس الطريق  إلي  حقيقية احتياجتنا خارج تاثير الاخر  ليتنا نتماهى في الصمت مع موسيقي الكون فنعود الي سلام الرحم الأول أنت وذاتك وجه ل وجه","https://www.youtube.com/@RehabBasyouni","https://yt3.googleusercontent.com/_GW4GRIu4uRyaBeHWpuUVeFI4RkDyUZ14GchSLVPqdfV_oFHp1K13aobkJGAJRRduHbZDYTPUw=s160-c-k-c0x00ffffff-no-rj","692703dc900ab74337b3f771","2025-11-26T13:42:52.874000","2025-11-26T13:44:25.849000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"Anas Bukhash","ABtalks","Dive into Specials, tackling thought-provoking topics. Experience Music, a series amplifying artists' journeys, plus a LIVE performance. Engage with Together, where guests ask each other bold questions curated by Anas. And uncover the shocking realities of everyday people in Untold Stories.","https://www.youtube.com/@ABtalks","https://yt3.googleusercontent.com/6BzQy5ZNP48AotNkOzIlh-R03JqxR7W16B4qbFBC-fdABIJacPbzvaFTJbUoksBZY8NAHjSb=s160-c-k-c0x00ffffff-no-rj","69270a865a1f1ed1df92a655","2025-11-26T14:11:18.886000","2025-11-26T14:11:18.886000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" يوسف حسين","Youssef Houssein","قناة يوسف حسين هي قناة شخصية اعرض فيها مواضيع وقضايا وشذرات فكرية وادبية","https://www.youtube.com/@youssef_houssein","https://yt3.googleusercontent.com/l2KudCnwwv8xeIVfU18xtmE_8DfQlwHQbYEdWadUsKA62JnBxzbWGPXpTHt9B0_mk7YJYsZsuA=s160-c-k-c0x00ffffff-no-rj","69270d622e5037eb98f13b69","2025-11-26T14:23:30.147000","2025-11-26T14:23:30.147000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"حامد عبد الصمد","Hamed","ناة تنويرية تبحث في التاريخ والحاضر. قناة تحترم عقول المشاهدين  وتشجعهم على استخدام عقولهم","https://www.youtube.com/@Box-of-islam","https://yt3.googleusercontent.com/ytc/AIdro_mitO8-vkdikMUG_jFkZSU-U86emWqz-vOv-CRGMuM8Ozc=s160-c-k-c0x00ffffff-no-rj","69270ed98d59e28f32179df8","2025-11-26T14:29:45.834000","2025-11-26T14:29:45.834000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" أحمد عصيد","Ahmed Assid","تتناول ""قناة أحمد عصيد"" بعض القضايا المطروحة للنقاش العمومي في المغرب ودول شمال افريقيا والشرق الأوسط.","https://www.youtube.com/@%D9%82%D9%86%D8%A7%D8%A9%D8%A3%D8%AD%D9%85%D8%AF%D8%B9%D8%B5%D9%8A%D8%AF","https://yt3.googleusercontent.com/3wxQdFlr0az4w2cLncysPFN7mqAQhHda0IWCSFnQ1OSJjLJPpRCMqyKDYmUO_cDpTA0plnIyVuM=s160-c-k-c0x00ffffff-no-rj","6927105703ba374b741630cf","2025-11-26T14:36:07.428000","2025-11-26T14:36:07.428000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"أوال طالك","Awal Talk","مساحة للحوار والنقاش مع ضيوف من مجالات متعددة: مجتمع، فكر، فن، وسياسة. نشارك قصصاً وأفكاراً تلهم وتفتح الأفق.","https://www.youtube.com/@AwalTalk","https://yt3.googleusercontent.com/QuHZzNrUvOyTlOkXO0D9MY0JsnCFuMo6Oq8ALrES3cKVnTbSFYfZmw7rAUe88uZtuvcH2dnv1g=s160-c-k-c0x00ffffff-no-rj","692712628e5bf6fa2fc20b21","2025-11-26T14:44:50.567000","2025-11-26T14:44:50.567000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"عبد الخالق كلاب","Abdelkhalek Koullab","الدكتور عبد الخالق كلاب مؤرخ ومستشار فردي لدى منظمة اليونسكو","https://www.youtube.com/@koullab","https://yt3.googleusercontent.com/kMI0_nolZ5rLS_nHOyMDExKNdpS-wMwq5YwHiqRgzgyxfTRojfgRQvv6OtcqmbyTzHhpbjaoZUg=s160-c-k-c0x00ffffff-no-rj","692713a6db8668e058c865b0","2025-11-26T14:50:14.392000","2025-11-26T14:50:14.392000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"محمد المسيح","Muhammad al-Masih","","https://www.youtube.com/@Earlyhistoryofisalm","https://yt3.googleusercontent.com/XGe7NAcd3RtWl49D93dvpmnAe2g0qT3xTEL3jA22jWB10D9xhYaHcvlKHtFkKgP81SKwlmnBsg=s160-c-k-c0x00ffffff-no-rj","6927157c7df0cdc6d0fcc0e9","2025-11-26T14:58:04.946000","2025-11-26T14:58:04.946000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"احمد الفارابي","Ahmed_ALFarabi","قناة "" احمد الفارابي "" هدفها نشر المعرفة و الوعي لدى الناطقين باللغة العربية عبر العالم.
مواضيعها فلسفية، تاريخية، علمية، ادبية,سياسية، نقدية، اجتماعية، علم نفس،علم الاجتماع,الاقتصاد, الدين...وغيرها الكثير من المواضيع
في الفلسفة :","https://www.youtube.com/@Ahmed_ALFarabi","https://yt3.googleusercontent.com/4e-nn5V-qBXeoXCANf7fB_vjbrYLRM-jct9QjEXDD8icjvZbdjS-NytGdJmsnEFmaUUWBWr3rA=s160-c-k-c0x00ffffff-no-rj","69276d94657e443afd59fff4","2025-11-26T21:13:56.957000","2025-11-26T21:13:56.957000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" محمد عبد الجبار","Mohammed Abdul Jabbar","","https://www.youtube.com/@ProfessorMohammed","https://yt3.googleusercontent.com/33QvGbuygawdIjha7VF945lOi39Jn0qJDH2wwl_SOfgtrMm5swmdHW9gAm-JGruIHi2JwKJ9Vgw=s160-c-k-c0x00ffffff-no-rj","69276f80ceded4532204f4e5","2025-11-26T21:22:08.501000","2025-11-26T21:22:08.501000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"عصام الخواجة","Esam Alkhawaga","هذا القناة مختصة بالأمور النفسية والاجتماعية ومايتعلق بها من  شؤون الحياة العامة.... وهي غير مختصة بالاستشارات النفسية الخاصة والتي تحتاج إلى مراجعة طبيب أو أخصائي نفسي مع جزيل الشكر.","https://www.youtube.com/@ealkhawaga","https://yt3.googleusercontent.com/jTJSYDi2HZuKA1sCiMB69fkGxtUnvHxQYOiEgyCi_1ZgHl8xcqmDKckvID4PwKenSwUh18xvmg=s160-c-k-c0x00ffffff-no-rj","692770ffa8e3c7860aa4700a","2025-11-26T21:28:31.906000","2025-11-26T21:28:31.906000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"شرفشتــاين","Sharafestien","فيديوهات علميه اكاديمية بطريقه خفيفه
مقدم ومعد البرنامج : د. محمد شرف
دكتوراه فلسفة العلوم - الكيمياء والكيمياء الحيوية - كلية العلوم","https://www.youtube.com/@Sharafestien/videos","https://yt3.googleusercontent.com/ytc/AIdro_mBKF30pE7FyL9Abx4cudIjcWUA2SE52bwg4ETi7DsNUNQ=s160-c-k-c0x00ffffff-no-rj","692773940540e69882985f7f","2025-11-26T21:39:32.468000","2025-11-26T21:39:32.468000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" حازم سكيك","Hazem Sakeek","مرحباً بكم في قناة الفيزياء التعليمية، وجهتكم الأولى لتعلم الفيزياء بأسلوب احترافي وممتع! يقدمها الدكتور حازم سكيك، هذه القناة هي كنز معرفي يضم أكثر من 700 فيديو تعليمي تراكمت على مدار 15 عاماً، لتشكل مكتبة متكاملة في العلوم الفيزيائية.
نركز على تبسيط المسائل الفيزيائية وشرح نظريات الفيزياء بطريقة واضحة ومباشرة، مع التركيز على التجارب الفيزيائية والتطبيقات العملية للفيزياء. قناتنا هي المصدر الأمثل لـ مراجعات الفيزياء، شرح القوانين الفيزيائية، وحلول مسائل الفيزياء.","https://www.youtube.com/@hazemsakeek","https://yt3.googleusercontent.com/9FIOY_9BSOWpdk44JHgeglRAv-Eyk826MgN9H7Ggf0ezG5J6dFNrnyT3Yn4qMJ6n7ZzmHsSc9A=s160-c-k-c0x00ffffff-no-rj","6927750ea26b41227b96cce8","2025-11-26T21:45:50.400000","2025-11-26T21:45:50.400000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"Critical Faculty","Critical Faculty","
أخضع للتمحيص موضوعات الدين والسياسة والأخلاق والفلسفة وعلم النفس والعلوم والشؤون الحياتية الجارية بحيث يمكن توضيح سوء الفهم وتحدي المحظورات والقضاء على
 الخرافات

هذه القناة مخصصة لاستخدام عقليتنا النقدية والارتقاء بها حتى نتمكن من تحسين فهمنا للواقع واتخاذ قرارات أفضل عند التعامل مع القضايا الناشئة في وجودنا وبصفتي إنسانيًا علمانيًا هدفي هو تقليل الضرر للجميع مع الهدف النهائي المتمثل في تحسين حالتنا البشرية العامة","https://www.youtube.com/@CriticalFaculty","https://yt3.googleusercontent.com/fEiPZ8RJz9kKxScOj6dsp_a4HOD7m97QwqulvUDx3SzW6HwVRqpjGpB9iD8dcMpjEw8AgiyrNA=s160-c-k-c0x00ffffff-no-rj","692776c0da8813d57de0b425","2025-11-26T21:53:04.604000","2025-11-26T21:53:04.604000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"في الغويط","Ayman Agamy","قناة حوارية تحاول ان تفتح افق جديدة للنقاش.
لقاءات مع مفكرين بلا منابر وافكار بلا قيود في محاولة في طرح  اسئلة تعادل في قيمتها اجاباتها. ","https://www.youtube.com/@AGAMY88","https://yt3.googleusercontent.com/ytc/AIdro_lMBizHlnh2gGopEPsUUp8Qxh7ezNwvtCy3-VgGoh--MZA7=s160-c-k-c0x00ffffff-no-rj","69277803485e85b4545a990c","2025-11-26T21:58:27.366000","2025-11-26T21:58:27.366000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"خربشات صوتية","kharbashat Sawtia","خربشات صوتية : تقدم لك تجربة فريدة من نوعها للاستماع إلى مقتطفات ممتعة ومفيدة من مختلف الكتب. من خلال القراءة الصوتية المميزة، تأخذك هذه القناة في رحلة ثقافية تعمل على توسيع آفاقك وتلهمك لاستكشاف عوالم جديدة من خلال أصوات مذهلة تلخص أفضل ما في الأدب.","https://www.youtube.com/@Audiobook-21","https://yt3.googleusercontent.com/FXf_ZPhYRG4mfy24ekMh1yHeA6znBfyTR9lvp82h0CFI2itj_3MxQvaZfW3JGNjRSZlvRaAp=s160-c-k-c0x00ffffff-no-rj","69277948657e443afd5a06e0","2025-11-26T22:03:52.719000","2025-11-26T22:03:52.719000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"نهاية أسطورة","The End of Legend","قناة "" نهاية أسطورة "" هي قناة مهتم بالبحث التاريخي العلمي المبني على المناهج العلمية الخاصة بالتاريخ من أجل البحث و التدقيق في أبرز الاحداث التاريخية التي عاشها  شمال افريقيا  والمنطقة العربية على مر العصور .","https://www.youtube.com/@legenden","https://yt3.googleusercontent.com/W4gPfB4Suh_NVfWeOoK6n-KL144Kl4YuG9LH-uHQtLBzqEGVh5F8xXeB2X7UmB0pIQFDJMr3nQ=s160-c-k-c0x00ffffff-no-rj","69280aeb0e44d49ab815a6f6","2025-11-27T08:25:15.540000","2025-11-27T08:25:15.540000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"كتاب بودكاست","Ketab Podcast","أهلاً بيكم في كتاب بودكاست! هنا بنغوص في أعماق الكتب، بنبسّط مفاهيمها المعقدة، وبنناقش أفكارها الأساسية بالتفصيل. بنركز على المؤلفات التقنية، مع جولات ممتعة في كتب الفلسفة، العلوم، والتاريخ وغيرها من مجالات تعليمية. الهدف مساعدتك على فهم واستيعاب أهم الكتب التقنيّة بلغة بسيطة","https://www.youtube.com/@KetabPodcast","https://yt3.googleusercontent.com/tiZY-mo_K6Se1a1jmtKQ6YOkIKN24ugrCygydAAD3WRGlX45Ll8JU9jCAmS3wBUGpO3UCuW0wg=s160-c-k-c0x00ffffff-no-rj","69280d8e2dee13689b27d23c","2025-11-27T08:36:30.031000","2025-11-27T08:36:30.031000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"سمارت تك العربية","Smart Tech Arabic","تركز القناة على تقنية المنزل الذكي وتنفيذها لتحسين الحياة اليومية للمستخدمين. القناة مصدر رائد للمعلومات والإرشادات حول تقنية المنزل الذكي في العالم العربي، وتقدم مجموعة واسعة من المحتوى التعليمي والتثقيفي المصمم لمساعدة المشاهدين على فهم مزايا وقدرات هذه التقنيات المبتكرة. من أنظمة أمان المنزل الذكي إلى الأجهزة الذكية والأجهزة المتصلة، تغطي القناة كل ذلك، وتقدم رؤى ونصائح قيمة حول كيفية تحقيق أقصى استفادة من هذه التقنيات المتطورة.","https://www.youtube.com/@SmartTechArabic","https://yt3.googleusercontent.com/yYKB1p-57wID7_RbcrMIDFJGXyDRHREfZq5ALrlnbRrQaZG8TGA7nRLGTQLZH4tXCapPqvfyXA=s160-c-k-c0x00ffffff-no-rj","69281019196519beda42e081","2025-11-27T08:47:21.405000","2025-11-27T08:47:21.405000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"‫مانيتون الكاتب (ماني)","Manetho writer","كبير كتبة سخمت وعضو المجمع المقدس والجالس على الطاولة المستديرة","https://www.youtube.com/@manetho.writer","https://yt3.googleusercontent.com/k2eT8Gj5nBmmMrmW3kzYNcItczQKXjGAkT8Mo0J43I3U1oDIumM28Fmb-D1cqMNTXUJECKDGqA=s160-c-k-c0x00ffffff-no-rj","692811736172aca497bebb46","2025-11-27T08:53:07.378000","2025-11-27T08:53:07.378000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"أكاجي","MeAkaji","رحلة الألف ميل تبدأ بخطوة","https://www.youtube.com/@MeAkaji","https://yt3.googleusercontent.com/om32GYlyOJBto15sYHAhwTx3wGGyA4xSScBvwMU5QabkmTK1LyoXs5F0sHZ7pxyt-IuXUKS95A=s160-c-k-c0x00ffffff-no-rj","6928129713b482136b522d41","2025-11-27T08:57:59.587000","2025-11-27T08:57:59.587000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"زاك  هارفي","Zach Harvey","فلنغير طريقه تفكيرنا","https://www.youtube.com/@Har2019","https://yt3.googleusercontent.com/n7JfeE_0x3Q73oH1QDcivegJ1USBzS7dswQAUN9nZkq8w_784rYowB-DnmFJPnBlSyqKkurlmw=s160-c-k-c0x00ffffff-no-rj","69286b9b2b368d7cb7e5a959","2025-11-27T15:17:47.527000","2025-11-27T15:17:47.527000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"نوبل توك","Noble Talk","انا نوبل فيزيائي وباحث. هدفي إثارة الفضول تجاه العلوم","https://www.youtube.com/@nobletalk2","https://yt3.googleusercontent.com/GnfBkrA5lGduB4YJygypaPys85HpQUmpt_ZoLEcHYIq2WQt0nmuDVhQAT6IGukv6uoik8Onk2gY=s160-c-k-c0x00ffffff-no-rj","69286fc8c8cbc23a8ea85307","2025-11-27T15:35:36.817000","2025-11-27T15:35:36.817000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
" زيرك ميرخان","Zirak","الجحيم فارغ وكل الشياطين هنا","https://www.youtube.com/@%D9%82%D9%86%D8%A7%D8%A9_%D8%B2%D9%8A%D8%B1%D9%83_%D9%85%D9%8A%D8%B1%D8%AE%D8%A7%D9%86_%D9%85%D8%AD%D9%85%D8%AF","https://yt3.googleusercontent.com/2mpJ0mCwf5vfFybZmJ3kYHnIcW_yJB6ZVAD4YKZC6a1gEfwEu50uWEn93MhrR94AsMMiEoL1=s160-c-k-c0x00ffffff-no-rj","69288fb08c3cfbe1f3c43782","2025-11-27T17:51:44.562000","2025-11-27T17:51:44.562000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"ندى حرفوش","Nada Harfoush","ندى حرفوش مدربة الصحة العامة
مهتمة بعلاج وتشافي الامراض المناعية والمزمنة والشائعة، وتطوير الوعي الذاتي والصحة النفسية كجزء أساسي من الصحة العامة للفرد. عن طريق التغذية والأساليب الطبيعية، بعد أن خاضت تجربة شخصية مع العلاج بالتغذية، استطاعت خلالها التعافي من آثار جلطة دماغية، والتهاب الكبد الوبائي سي، والتهاب المفاصل الروماتويدي، قامت بعدها بدراسة التغذية العلاجية بالتعلم الذاتي، وأنشأت مشروعها بهدف نشر التوعية الصحية واكتشاف إمكانيات الجسد في الشفاء الذاتي، وتغيير الأفكار النمطية التقليدية عن الأمراض وكونها أبدية وغير قابلة للعلاج كما يُرَوَّج","https://www.youtube.com/@Nadawellbeing","https://yt3.googleusercontent.com/CKsyE8NC02Ype5AbVnOB4ecRKj1A8_QAvBi3g3q7D6XZN7ccKUfwiyzz4Yj_wFXZgTBgKL7d=s160-c-k-c0x00ffffff-no-rj","6928920e6cca8a0ad96d366c","2025-11-27T18:01:50.752000","2025-11-27T18:01:50.752000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"محب الكتب","bibliophile","فى هذه القناة أحاول نشر  رحيق الكتب التى أتمنى أن تحسن من حياة شخص ما و  أيضاً أحب مشاركة كل ما يخص تطوير الذات وعلم النفس   

فهذه القناة تهتم ب : 
١) تلخيص الكتب
٢) تطوير الذات
٣) علم النفس","https://www.youtube.com/@Muhib_Alkutub/videos","https://yt3.googleusercontent.com/I0er_bBqI2RMv_yZrn0ZiuG5HqBAMes2-vks6Cgu47GHEV9xQu4FXoWiIxSZoACCg6FABCFz=s160-c-k-c0x00ffffff-no-rj","692897930b6567a02795cab5","2025-11-27T18:25:23.909000","2025-11-27T18:25:23.909000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"يوسف الباني","youssef Albanay","فيزيائي وإنسان حالم","https://www.youtube.com/@youssefalbanay","https://yt3.googleusercontent.com/8OwHTB4sStIXzCtH2rEXHNbQ_rv2K8n5Es7K49feSUEgweLx0ok88SElbeA2krW_VGJUdq3nKg=s160-c-k-c0x00ffffff-no-rj","6928b33acd4a1edca75db5ce","2025-11-27T20:23:22.117000","2025-11-27T20:23:22.117000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"سامي الذيب","Sami Aldeeb","","https://www.youtube.com/@samialdeeb","https://yt3.googleusercontent.com/MkzgDKajRC9Awnws_1Bk4aoTrBJL7NEuLH818OBnD-tU4D8c7IcKjwnLyTcE4VNu-zcH6sMQsw=s160-c-k-c0x00ffffff-no-rj","692a07bfa38f655992946917","2025-11-28T20:36:15.932000","2025-11-28T20:36:15.932000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
"المُـرتــــد","Almurtad","لمرتد مازن، هي قناة يوتيوب للاديني مصري، بدأ نشاطه في نقاش الإسلام والعقائد الأخرى على منصة كلوب هاوس في مارس 2021، ثم مساحات تويتر، ويوتيوب في 2022، المحتوى يناقش الفلسفة الإسلامية والعقائد الإسلامية، وبعض المعتقدات الأخرى، وتهدف القناة إلى دفع المسلمين للبحث والقراءة والتفكير، ولذا يعتمد المرتد على المصادر الإسلامية المعتبرة لدى المسلمين، ويعتمد أسلوب نقاشي يحترم الطرف الآخر ومعتقداته.","https://www.youtube.com/@almurtadmazin","https://yt3.googleusercontent.com/SPZ2IkUhwfk9ES6wJhL6dzlPltAEu0PWaVkYQ78UTdGMBUUJTqsIZLkNEkYzxpkbKggSqxxR=s160-c-k-c0x00ffffff-no-rj","692a0f3299d82f9cd6588667","2025-11-28T21:08:02.435000","2025-11-28T21:08:02.435000","68f89bdeb4f4c497c63dd243","saadfawsi@hotmail.com","false"
